DATE,Gyunglak_PRCE,AVRG_PRCE,MIN_PRCE,MAX_PRCE,STD,OIL_PRCE,CPI
2002-08-08,1600.0,1620.0,1400.0,1800.0,178.89,24.16,60.858000000000004
2002-08-12,1350.0,1660.0,1500.0,1800.0,134.16,24.73,60.858000000000004
2002-08-05,1050.0,1480.0,1200.0,1800.0,238.75,24.27,60.858000000000004
2002-08-09,1550.0,1640.0,1500.0,1800.0,151.66,24.37,60.858000000000004
2002-08-13,1350.0,1700.0,1500.0,1800.0,141.42,24.93,60.858000000000004
2002-08-16,1350.0,1760.0,1700.0,1900.0,89.44,25.78,60.858000000000004
2002-08-06,1500.0,1580.0,1300.0,1800.0,192.35,24.310000000000002,60.858000000000004
2002-08-07,1600.0,1580.0,1300.0,1800.0,192.35,24.27,60.858000000000004
2002-08-14,1350.0,1740.0,1600.0,1900.0,114.02,25.16,60.858000000000004
2002-09-05,1050.0,1460.0,1200.0,2000.0,320.94,26.34,62.327
2002-09-13,800.0,1460.0,1300.0,2000.0,304.96,26.87,62.327
2002-09-10,950.0,1460.0,1300.0,2000.0,304.96,27.02,62.327
2002-08-21,1050.0,1540.0,1100.0,2000.0,320.94,26.07,60.858000000000004
2002-08-27,1000.0,1460.0,1200.0,2000.0,320.94,26.400000000000002,60.858000000000004
2002-08-30,1000.0,1460.0,1200.0,2000.0,320.94,26.37,60.858000000000004
2002-09-02,1050.0,1460.0,1200.0,2000.0,320.94,26.38,62.327
2002-09-06,1050.0,1440.0,1200.0,2000.0,320.94,26.830000000000002,62.327
2002-09-11,950.0,1460.0,1300.0,2000.0,304.96,27.04,62.327
2002-09-03,1050.0,1460.0,1200.0,2000.0,320.94,25.84,62.327
2002-08-28,1000.0,1460.0,1200.0,2000.0,320.94,26.04,60.858000000000004
2002-08-22,1050.0,1500.0,1100.0,2000.0,331.66,26.17,60.858000000000004
2002-08-19,1050.0,1740.0,1500.0,2000.0,181.66,25.830000000000002,60.858000000000004
2002-09-04,1050.0,1460.0,1200.0,2000.0,320.94,25.84,62.327
2002-09-12,850.0,1460.0,1300.0,2000.0,304.96,26.85,62.327
2002-09-09,950.0,1460.0,1300.0,2000.0,304.96,26.95,62.327
2002-08-23,1050.0,1480.0,1100.0,2000.0,342.05,26.0,60.858000000000004
2002-08-26,1000.0,1460.0,1100.0,2000.0,336.15,26.060000000000002,60.858000000000004
2002-08-29,1000.0,1460.0,1200.0,2000.0,320.94,26.23,60.858000000000004
2002-08-20,1050.0,1600.0,1300.0,2000.0,254.95,25.89,60.858000000000004
2002-09-25,700.0,1340.0,1300.0,1500.0,89.44,27.27,62.327
2002-10-04,750.0,1140.0,1000.0,1300.0,114.02,27.310000000000002,59.661
2002-10-01,750.0,1220.0,1100.0,1300.0,83.67,27.57,59.661
2002-09-16,750.0,1360.0,1300.0,1500.0,89.44,26.98,62.327
2002-09-19,750.0,1340.0,1300.0,1500.0,89.44,26.77,62.327
2002-09-26,700.0,1280.0,1200.0,1300.0,44.72,27.310000000000002,62.327
2002-09-17,750.0,1360.0,1300.0,1500.0,89.44,26.42,62.327
2002-10-02,750.0,1180.0,1100.0,1300.0,83.67,27.61,59.661
2002-10-07,800.0,1120.0,1000.0,1300.0,130.38,27.32,59.661
2002-09-27,700.0,1240.0,1100.0,1300.0,89.44,27.34,62.327
2002-09-24,750.0,1340.0,1300.0,1500.0,89.44,27.44,62.327
