DATE,Gyunglak_PRCE,AVRG_PRCE,MIN_PRCE,MAX_PRCE,STD,OIL_PRCE,CPI
20020805,2716.6666666666665,3474.1,2866.7,4200.0,507.10994254417886,24.27,60.858000000000004
20020806,2583.3333333333335,3437.1,2866.7,4200.0,531.3620978319261,24.310000000000002,60.858000000000004
20020807,2633.3333333333335,3400.0,2733.3,4200.0,570.5747589541229,24.27,60.858000000000004
20020808,2600.0,3414.8,2866.7,4200.0,552.54741151806,24.16,60.858000000000004
20020809,2166.6666666666665,3414.8,2866.7,4200.0,552.54741151806,24.37,60.858000000000004
20020812,1083.3333333333333,3503.7,2866.7,4200.0,483.17366455908643,24.73,60.858000000000004
20020813,2000.0,3352.4,2866.7,4200.0,489.46574913544214,24.93,60.858000000000004
20020814,966.6666666666666,3323.8,2866.7,4200.0,514.138720909663,25.16,60.858000000000004
20020816,733.3333333333334,3122.3,2666.7,4200.0,548.8034121479068,25.78,60.858000000000004
20020819,1300.0,3044.5,2533.3,4200.0,597.2777751940388,25.830000000000002,60.858000000000004
20020820,1200.0,2933.4,2266.7,4200.0,678.5605679999719,25.89,60.858000000000004
20020821,1233.3333333333333,2777.8,2000.0,4200.0,743.1663987939016,26.07,60.858000000000004
20020822,1233.3333333333333,2766.7,2200.0,4200.0,723.8784428341543,26.17,60.858000000000004
20020823,1933.3333333333333,2466.6,2133.3,2733.3,734.7461138732561,26.0,60.858000000000004
20020826,2366.6666666666665,2480.0,2333.3,2666.7,711.4929530376404,26.060000000000002,60.858000000000004
20020827,2366.6666666666665,2480.0,2333.3,2666.7,128.23589374447565,26.400000000000002,60.858000000000004
20020828,1900.0,2493.3,2333.3,2666.7,129.9572579307862,26.04,60.858000000000004
20020829,1666.6666666666667,2533.3,2400.0,2666.7,94.28090415820635,26.23,60.858000000000004
20020830,1666.6666666666667,2506.7,2400.0,2666.7,111.55467020454346,26.37,60.858000000000004
20020902,2100.0,2653.3,2533.3,3000.0,202.2100118413746,26.38,62.327
20020903,2100.0,2680.0,2533.3,2866.7,128.2358937444756,25.84,62.327
20020904,2100.0,2666.7,2400.0,2866.7,169.96731711975957,25.84,62.327
20020905,2100.0,2720.0,2666.7,2866.7,86.92269873603547,26.34,62.327
20020906,2000.0,2733.4,2666.7,2866.7,94.28090415820643,26.830000000000002,62.327
20020909,1666.6666666666667,2746.7,2666.7,2866.7,109.54451150103327,26.95,62.327
20020910,1433.3333333333333,2746.7,2666.7,2866.7,109.54451150103323,27.02,62.327
20020911,1333.3333333333333,2746.7,2666.7,2866.7,109.54451150103318,27.04,62.327
20020912,1266.6666666666667,2720.0,2666.7,2866.7,86.92269873603546,26.85,62.327
20020913,1233.3333333333333,2720.0,2666.7,2866.7,86.9226987360354,26.87,62.327
20020916,1883.3333333333335,2720.0,2666.7,2866.7,86.92269873603537,26.98,62.327
20020917,1766.6666666666665,2693.4,2600.0,2866.7,101.10500592068738,26.42,62.327
20020918,1716.6666666666665,2693.4,2600.0,2866.7,101.10500592068742,26.740000000000002,62.327
20020919,966.6666666666666,2666.7,2533.3,2866.7,124.72191289246463,26.77,62.327
20020924,1733.3333333333333,2711.1,2600.0,2866.7,124.72191289246466,27.44,62.327
20020925,833.3333333333334,2733.4,2600.0,2866.7,124.72191289246464,27.27,62.327
20020926,700.0,2600.0,2600.0,2600.0,115.47005383792516,27.310000000000002,62.327
20021011,1655.5555555555554,2716.7,2466.7,3000.0,257.48067169458824,26.68,59.661
20021014,1950.0,2586.7,2400.0,2733.3,144.52988925785877,26.91,59.661
20021015,1883.3333333333335,2533.3,2400.0,2666.7,105.40925533894597,27.060000000000002,59.661
20021016,1883.3333333333333,2506.7,2400.0,2600.0,76.0116950066093,26.830000000000002,59.661
