DATE,Gyunglak_PRCE,AVRG_PRCE,MIN_PRCE,MAX_PRCE,STD,OIL_PRCE,CPI
20020805,475.0,550.0,500.0,650.0,70.71067811865476,24.27,60.858000000000004
20020806,575.0,570.0,500.0,650.0,67.08203932499367,24.310000000000002,60.858000000000004
20020807,650.0,580.0,500.0,650.0,75.82875444051551,24.27,60.858000000000004
20020808,650.0,600.0,500.0,650.0,70.71067811865476,24.16,60.858000000000004
20020809,500.0,600.0,500.0,700.0,79.05694150420948,24.37,60.858000000000004
20020812,450.0,600.0,500.0,650.0,61.23724356957946,24.73,60.858000000000004
20020813,475.0,610.0,550.0,650.0,41.833001326703766,24.93,60.858000000000004
20020814,475.0,630.0,550.0,650.0,44.7213595499958,25.16,60.858000000000004
20020816,500.0,630.0,550.0,650.0,44.72135954999578,25.78,60.858000000000004
20020819,500.0,630.0,550.0,650.0,44.7213595499958,25.830000000000002,60.858000000000004
20020820,475.0,630.0,550.0,650.0,44.721359549995796,25.89,60.858000000000004
20020821,475.0,630.0,550.0,650.0,44.72135954999578,26.07,60.858000000000004
20020822,475.0,630.0,550.0,650.0,44.721359549995796,26.17,60.858000000000004
20020823,475.0,630.0,550.0,650.0,44.72135954999578,26.0,60.858000000000004
20020826,450.0,630.0,550.0,650.0,44.72135954999578,26.060000000000002,60.858000000000004
20020827,475.0,630.0,550.0,650.0,44.721359549995796,26.400000000000002,60.858000000000004
20020828,475.0,630.0,550.0,650.0,44.72135954999578,26.04,60.858000000000004
20020829,475.0,630.0,550.0,650.0,44.72135954999578,26.23,60.858000000000004
20020830,475.0,630.0,550.0,650.0,44.72135954999578,26.37,60.858000000000004
20020902,475.0,630.0,550.0,650.0,44.7213595499958,26.38,62.327
20020903,475.0,640.0,600.0,650.0,22.360679774997905,25.84,62.327
20020904,475.0,640.0,600.0,650.0,22.360679774997905,25.84,62.327
20020905,550.0,640.0,600.0,650.0,22.360679774997905,26.34,62.327
20020906,600.0,640.0,600.0,650.0,22.360679774997905,26.830000000000002,62.327
20020909,575.0,670.0,600.0,750.0,57.008771254956905,26.95,62.327
20020910,550.0,670.0,600.0,750.0,57.00877125495689,27.02,62.327
20020911,475.0,670.0,600.0,700.0,44.721359549995796,27.04,62.327
20020912,425.0,670.0,600.0,700.0,44.721359549995796,26.85,62.327
20020913,425.0,660.0,600.0,700.0,41.83300132670378,26.87,62.327
20020916,400.0,660.0,600.0,700.0,41.833001326703766,26.98,62.327
20020917,450.0,660.0,600.0,700.0,41.83300132670378,26.42,62.327
20020918,450.0,660.0,600.0,700.0,41.83300132670378,26.740000000000002,62.327
20020919,525.0,660.0,600.0,700.0,41.83300132670378,26.77,62.327
20020924,500.0,660.0,600.0,700.0,41.83300132670378,27.44,62.327
20020925,475.0,660.0,600.0,700.0,41.83300132670378,27.27,62.327
20020926,475.0,650.0,600.0,700.0,35.35533905932738,27.310000000000002,62.327
20020927,475.0,650.0,600.0,700.0,35.35533905932736,27.34,62.327
20020930,475.0,650.0,600.0,700.0,35.35533905932738,27.42,62.327
20021001,450.0,650.0,600.0,700.0,35.35533905932738,27.57,59.661
20021002,450.0,650.0,600.0,700.0,35.35533905932738,27.61,59.661
20021004,425.0,630.0,600.0,650.0,27.386127875258307,27.310000000000002,59.661
20021007,450.0,630.0,600.0,650.0,27.386127875258296,27.32,59.661
20021008,450.0,630.0,600.0,650.0,27.38612787525831,27.11,59.661
20021009,462.5,630.0,600.0,650.0,27.38612787525831,26.92,59.661
20021010,462.5,630.0,600.0,650.0,27.38612787525831,26.560000000000002,59.661
20021011,462.5,630.0,600.0,650.0,27.386127875258307,26.68,59.661
20021014,462.5,630.0,600.0,650.0,27.38612787525831,26.91,59.661
20021015,425.0,630.0,600.0,650.0,27.38612787525831,27.060000000000002,59.661
20021016,475.0,630.0,600.0,650.0,27.38612787525831,26.830000000000002,59.661
20021017,475.0,630.0,600.0,650.0,27.38612787525831,26.88,59.661
20021018,475.0,630.0,600.0,650.0,27.38612787525831,26.85,59.661
20021021,475.0,630.0,600.0,650.0,27.386127875258307,26.17,59.661
20021022,475.0,630.0,600.0,650.0,27.38612787525831,26.1,59.661
20021023,475.0,630.0,600.0,650.0,27.38612787525831,25.63,59.661
20021024,475.0,630.0,600.0,650.0,27.38612787525831,25.88,59.661
20021025,475.0,630.0,600.0,650.0,27.38612787525831,25.13,59.661
20021028,475.0,620.0,550.0,650.0,44.7213595499958,24.8,59.661
20021029,475.0,620.0,550.0,650.0,44.721359549995796,24.34,59.661
20021030,475.0,620.0,550.0,650.0,44.721359549995796,24.18,59.661
20021031,475.0,620.0,550.0,650.0,44.721359549995796,24.25,59.661
20021101,475.0,620.0,550.0,650.0,44.721359549995796,24.11,59.118
20021104,525.0,620.0,550.0,650.0,44.7213595499958,23.73,59.118
20021105,525.0,630.0,550.0,700.0,57.0087712549569,23.32,59.118
20021106,525.0,630.0,550.0,700.0,57.0087712549569,22.68,59.118
20021107,525.0,630.0,550.0,700.0,57.0087712549569,22.53,59.118
20021108,525.0,630.0,550.0,700.0,57.008771254956905,22.48,59.118
20021111,600.0,640.0,600.0,700.0,41.83300132670378,22.490000000000002,59.118
20021112,625.0,640.0,600.0,700.0,41.83300132670378,22.59,59.118
20021113,500.0,640.0,600.0,700.0,41.83300132670378,22.330000000000002,59.118
20021114,475.0,640.0,600.0,700.0,41.83300132670378,21.81,59.118
20021115,475.0,630.0,600.0,700.0,44.721359549995796,22.26,59.118
20021118,475.0,630.0,600.0,700.0,44.7213595499958,22.78,59.118
20021119,475.0,630.0,600.0,650.0,27.386127875258307,23.16,59.118
20021120,475.0,630.0,600.0,650.0,27.38612787525831,23.26,59.118
20021121,475.0,630.0,600.0,650.0,27.386127875258296,23.95,59.118
20021122,450.0,630.0,600.0,650.0,27.386127875258296,24.2,59.118
20021125,400.0,630.0,600.0,650.0,27.38612787525831,24.09,59.118
20021126,400.0,630.0,600.0,650.0,27.386127875258307,23.88,59.118
20021127,400.0,630.0,600.0,650.0,27.386127875258296,24.22,59.118
20021128,400.0,630.0,600.0,650.0,27.386127875258307,24.13,59.118
20021129,400.0,630.0,600.0,650.0,27.386127875258307,24.03,59.118
20021202,400.0,630.0,600.0,650.0,27.386127875258307,24.05,60.151
20021203,400.0,630.0,600.0,650.0,27.386127875258307,24.41,60.151
20021204,400.0,620.0,550.0,650.0,44.721359549995796,24.02,60.151
20021205,400.0,620.0,550.0,650.0,44.72135954999578,24.25,60.151
20021206,400.0,620.0,550.0,650.0,44.721359549995796,24.310000000000002,60.151
20021209,425.0,620.0,550.0,650.0,44.72135954999578,24.43,60.151
20021210,462.5,630.0,550.0,650.0,44.72135954999578,24.66,60.151
20021211,462.5,630.0,550.0,650.0,44.7213595499958,24.79,60.151
20021212,462.5,640.0,600.0,650.0,22.360679774997898,25.01,60.151
20021213,462.5,640.0,600.0,650.0,22.360679774997887,25.48,60.151
20021216,462.5,640.0,600.0,650.0,22.360679774997898,26.18,60.151
20021217,462.5,640.0,600.0,650.0,22.360679774997905,26.26,60.151
20021218,462.5,640.0,600.0,650.0,22.360679774997898,26.580000000000002,60.151
20021220,450.0,640.0,600.0,650.0,22.360679774997898,26.75,60.151
20021223,450.0,640.0,600.0,650.0,22.360679774997887,27.57,60.151
20021224,450.0,630.0,600.0,650.0,27.386127875258307,27.52,60.151
20021226,450.0,640.0,600.0,650.0,22.360679774997887,27.12,60.151
20021227,400.0,640.0,600.0,650.0,22.360679774997905,27.8,60.151
20021230,400.0,640.0,600.0,650.0,22.360679774997905,27.09,60.151
20021231,425.0,640.0,600.0,650.0,22.360679774997887,26.52,60.151
20030103,425.0,650.0,600.0,700.0,35.35533905932738,27.560000000000002,61.347
20030106,475.0,660.0,600.0,700.0,41.83300132670378,27.560000000000002,61.347
20030107,475.0,660.0,600.0,700.0,41.83300132670378,26.62,61.347
20030108,475.0,650.0,600.0,700.0,35.35533905932738,26.330000000000002,61.347
20030109,475.0,650.0,600.0,700.0,35.35533905932738,26.92,61.347
20030110,475.0,660.0,650.0,700.0,22.360679774997887,27.28,61.347
20030113,475.0,660.0,650.0,700.0,22.360679774997898,27.47,61.347
20030114,425.0,660.0,650.0,700.0,22.360679774997887,27.650000000000002,61.347
20030115,425.0,650.0,600.0,700.0,35.355339059327385,27.91,61.347
20030116,425.0,650.0,600.0,700.0,35.35533905932738,28.240000000000002,61.347
