AUC_YMD,강릉도매시장,광주각화도매,광주서부도매,구리도매시장,구미도매시장,대구북부도매,대전노은도매,대전오정도매,부산반여도매,부산엄궁도매,서울가락도매,서울강서도매,수원도매시장,순천도매시장,안동도매시장,안산도매시장,안양도매시장,울산도매시장,원주도매시장,익산도매시장,인천구월도매,인천삼산도매,전주도매시장,정읍도매시장,진주도매시장,창원내서도매시장,창원팔용도매시장,천안도매시장,청주도매시장,춘천도매시장,충주도매시장,포항도매시장
2021-01-02,1585,2477,2800,2319,1385,2678,1390,1769,1427,1613,1027,1363,1580,1925,1405,2440,1905,2600,943,1626,1600,1431,2094,1790,1200,1800,1304,1400,3165,1888,2982,1450
2021-01-04,1585,2477,2576,2319,1385,2678,1390,1769,1427,1613,1027,1363,1580,1925,1405,2440,1905,3008,943,1828,1600,1431,2160,1790,1200,1800,1304,1400,3165,1888,2982,1450
2021-01-05,1585,1893,2857,2450,1385,2941,2230,2550,2693,1540,1093,1340,1465,2500,1315,2440,1720,1050,1900,1693,1650,2600,2820,1790,7600,1900,2647,1125,1583,1565,1811,800
2021-01-06,1585,2860,2238,2839,1400,3282,2400,2458,1417,1762,1376,1150,1430,2850,1315,2512,1736,1729,3518,1828,2426,2350,1830,1474,7600,1850,731,2477,1595,1695,1800,1394
2021-01-07,1010,3150,3500,2356,1750,3233,2885,3004,2625,1570,1403,1200,1600,1700,1315,3221,2900,2650,3000,1900,1743,2900,2200,1100,2775,1650,3100,550,1726,1565,2000,1394
2021-01-08,1010,1621,3500,3181,1750,3257,2810,1655,2625,1000,1460,1200,1500,600,1315,916,2800,2900,945,1900,1745,2900,6000,1100,1154,3278,7867,550,2335,1665,1469,1394
2021-01-09,3250,1900,3500,1506,1565,3250,1340,950,1750,1000,1508,1200,1500,600,1315,3350,2800,3060,945,1075,1745,2900,2220,1001,1154,1650,24597,550,1675,2704,1391,1394
2021-01-11,3250,3300,3240,3400,1500,3277,1500,3217,2659,1646,1298,1400,3000,600,1315,3250,2900,1168,1572,1869,1695,3150,2651,1053,500,1842,3100,2600,1796,2808,2000,1625
2021-01-12,3250,1725,1700,3456,1500,3280,2875,2030,1850,1405,1307,1400,3000,1400,1315,3806,2900,1168,2748,1869,3567,1650,2375,1053,3250,1500,285,1500,1860,2808,2000,1625
2021-01-13,2061,2986,3550,3550,1250,3023,3095,3188,3017,3050,1405,1325,1625,1400,1415,2850,1747,1168,2750,1587,2800,2900,3158,1053,1750,2000,1550,1980,3798,2340,2000,1115
2021-01-14,3400,2552,2400,3500,1250,2998,2825,2500,2800,1649,1334,3306,1680,1400,1310,3079,1800,3268,3615,1879,2690,2211,5553,1738,1750,1850,3000,1980,3010,2340,2000,786
2021-01-15,3250,3218,3605,3600,1315,3098,1500,2250,1276,1310,1262,1300,1660,2365,1310,3250,1679,3289,42,1879,1679,3100,2890,1264,4313,1650,1602,2430,2412,2964,2000,786
2021-01-16,1829,2831,2800,3350,1885,3084,1500,3306,1936,1400,1282,1300,1785,2550,1223,3300,3050,3007,42,1500,1650,1700,2933,1264,4313,1650,1760,2580,1825,2964,1724,1290
2021-01-18,1300,3600,3143,3500,1760,3004,2900,3794,3265,3125,1323,3403,3350,3050,1200,1885,3000,3500,3570,1956,3500,3145,2950,1000,3250,1600,3110,3355,1875,2964,2000,1250
2021-01-19,3250,3425,3150,3500,1760,2885,2900,3300,3300,2258,1331,1600,3100,2307,800,3000,3300,935,1840,2028,1564,2799,2650,3400,3250,1550,3000,3355,2034,1665,1575,1165
2021-01-20,1475,3500,3639,3600,1750,3395,2025,3334,2790,3250,1314,3563,2700,2300,1255,3900,800,3000,1680,2169,2550,2893,3000,3400,1405,1550,2800,3000,2321,1665,2000,1640
2021-01-21,3475,2156,3600,3042,550,2344,2850,1968,3100,1425,1444,1150,1718,2371,1544,2900,3100,1180,1120,1858,2789,2900,3911,3400,3000,1575,1600,3000,2494,3120,2000,1640
2021-01-22,4004,4050,4027,3616,1714,3420,2945,3347,2721,1425,1476,1683,1718,1600,1225,1694,3150,3000,2875,2250,3750,3050,2917,3316,3182,1500,17851,1510,1766,2392,2000,1500
2021-01-23,2264,2629,4250,1758,1714,1760,1615,2093,1894,1550,1643,3500,1790,3500,1295,3500,3150,2350,2875,2088,1526,3185,3151,3316,2600,1549,17851,1510,1872,2392,1800,927
2021-01-25,4361,2719,4250,4200,475,3176,1740,3381,2952,3500,1541,1854,3400,3500,1550,3250,3000,3000,4365,1728,2500,2258,2960,1896,3250,1350,3300,2886,2115,1915,2204,1725
2021-01-26,1522,3316,3402,4221,2000,3110,2900,2109,3188,3016,1386,1865,2800,2835,1520,3250,1785,3500,1632,1853,1962,1735,2900,3450,3250,1650,1129,1650,1755,3588,2968,940
2021-01-27,1510,2420,4650,3650,2000,3005,3699,1525,3000,2786,1466,1652,2750,3100,1250,3250,3250,2700,1575,1852,1500,2650,2100,3033,4282,850,3260,3173,1755,1716,2781,1180
2021-01-28,1440,1736,2500,4500,1369,2665,3440,2724,1897,3187,1215,2050,1847,2621,1345,2617,2100,900,3258,2066,1750,3422,5880,1900,1450,1325,1415,1730,3165,1415,2100,1000
