AUC_YMD,강릉도매시장,광주각화도매,광주서부도매,구리도매시장,구미도매시장,대구북부도매,대전노은도매,대전오정도매,부산반여도매,부산엄궁도매,서울가락도매,서울강서도매,수원도매시장,순천도매시장,안동도매시장,안산도매시장,안양도매시장,울산도매시장,원주도매시장,익산도매시장,인천구월도매,인천삼산도매,전주도매시장,정읍도매시장,진주도매시장,창원내서도매시장,창원팔용도매시장,천안도매시장,청주도매시장,춘천도매시장,충주도매시장,포항도매시장
2021-01-02,5280.0,3763.0,4010.0,4548.0,2790.0,4328.0,4300.0,4939.0,4516.0,4024.0,2314.0,4289.0,4400.0,3800.0,3489.0,3300.0,4034.0,4300.0,5250.0,4924.0,3829.0,4130.0,4400.0,3686.0,2460.0,4375.0,3919.0,3278.0,4607.0,3741.0,4278.0,4538.0
2021-01-04,5280.0,3993.0,4522.0,4548.0,2790.0,4328.0,4300.0,4939.0,4516.0,4024.0,2314.0,4289.0,4400.0,3800.0,3489.0,3300.0,4034.0,3976.0,5250.0,5340.0,3829.0,4130.0,7630.0,3686.0,4000.0,4375.0,3919.0,3278.0,4607.0,3741.0,4278.0,4538.0
2021-01-05,5123.0,4286.0,3969.0,4035.0,2420.0,4247.0,4301.0,5103.0,4657.0,3879.0,2383.0,3373.0,2050.0,4603.0,3489.0,5757.0,4984.0,3087.0,5365.0,4998.0,3377.0,3840.0,4628.0,4949.0,2250.0,4065.0,5000.0,3151.0,4504.0,2704.0,4154.0,4538.0
2021-01-06,5123.0,4307.0,4120.0,4779.0,2420.0,4330.0,5323.0,5278.0,4198.0,3920.0,2444.0,4563.0,3800.0,4787.0,3220.0,5202.0,4705.0,4218.0,5320.0,5221.0,4471.0,4500.0,4907.0,2106.0,4140.0,4836.0,4146.0,4800.0,5591.0,3588.0,4800.0,4250.0
2021-01-07,4740.0,4366.0,4324.0,4300.0,2420.0,4361.0,4579.0,5374.0,4841.0,4228.0,2417.0,4500.0,3800.0,5000.0,2800.0,5000.0,3150.0,4900.0,2100.0,3900.0,4058.0,4100.0,4770.0,4633.0,4136.0,4427.0,5300.0,3850.0,4376.0,3693.0,4031.0,4250.0
2021-01-08,3868.0,4646.0,5121.0,4678.0,2420.0,4406.0,3220.0,5032.0,4552.0,3600.0,2487.0,4800.0,3750.0,4300.0,2800.0,3700.0,2100.0,4099.0,4000.0,5117.0,3701.0,4445.0,6120.0,5370.0,4136.0,4485.0,3630.0,3200.0,5064.0,4784.0,4047.0,4450.0
2021-01-09,4600.0,4001.0,5311.0,4300.0,2420.0,3700.0,3220.0,2858.0,4200.0,3600.0,2689.0,4800.0,3750.0,5050.0,2800.0,4076.0,3575.0,4099.0,4000.0,2100.0,1100.0,3100.0,4615.0,5370.0,4136.0,3100.0,3846.0,3869.0,4642.0,3588.0,4500.0,4450.0
2021-01-11,5275.0,4629.0,4820.0,4812.0,2420.0,4586.0,4543.0,5105.0,4600.0,4158.0,2463.0,4784.0,4550.0,5050.0,3260.0,5088.0,3675.0,4900.0,5250.0,4585.0,3796.0,4800.0,5101.0,1790.0,4402.0,4663.0,4381.0,4793.0,4753.0,3693.0,4700.0,4520.0
2021-01-12,4754.0,4369.0,4304.0,4300.0,2420.0,4490.0,2544.0,2867.0,4680.0,3628.0,2437.0,3750.0,3000.0,5037.0,3260.0,5000.0,3675.0,4900.0,4115.0,4585.0,4693.0,1000.0,7371.0,1790.0,4402.0,3879.0,3420.0,5241.0,4627.0,4992.0,4200.0,3800.0
2021-01-13,5331.0,4824.0,5230.0,4854.0,2420.0,4520.0,5100.0,4764.0,4621.0,4248.0,2519.0,4783.0,3000.0,5000.0,3530.0,4844.0,4531.0,4440.0,5460.0,5008.0,3878.0,3973.0,5786.0,1790.0,4388.0,4816.0,4472.0,3864.0,5064.0,3952.0,4000.0,4520.0
